['fun' '202103302152' '6.26' '-2.23' '9.42' '7.37'],['fun' '202103312241' '8.13' '-2.7' '6.47' '6.67'],['fun' '202104011601' '7.86' '-2.77' '6.43' '8.14'],['fun' '202104021832' '8.25' '-2.95' '2.08' '9.83'],['fun' '202104061805' '-19.2' '-8.61' '-22.4' '-17.6'],['fun' '202104072213' '-24.67' '-15.36' '-27.33' '-14.33']
['tel' '202103302152' '-8.95' '3.68' '-19.26' '-4.89'],['tel' '202103312241' '-13.87' '4.21' '-18.47' '-11.27'],['tel' '202104011601' '-14.86' '4.56' '-16.5' '-11.36'],['tel' '202104021832' '-14.75' '3.53' '-16.58' '-11.5'],['tel' '202104061805' '-12.2' '-7.83' '10.2' '-8.6'],['tel' '202104072213' '-16.33' '-6.07' '17.0' '-15.33']
['bal' '202103302152' '-5.11' '-2.06' '2.32' '-20.26'],['bal' '202103312241' '-12.6' '-2.54' '-1.0' '-33.07'],['bal' '202104011601' '-15.29' '-2.59' '-4.79' '-35.0'],['bal' '202104021832' '-26.33' '-2.74' '-15.0' '-43.67'],['bal' '202104061805' '-17.8' '-10.89' '-20.4' '-25.6'],['bal' '202104072213' '-47.67' '-13.28' '-53.0' '-52.67']
['ark' '202103302152' '-10.53' '-5.61' '-5.21' '-17.26'],['ark' '202103312241' '-11.93' '-9.73' '-6.0' '-21.13'],['ark' '202104011601' '-12.5' '-10.67' '-5.14' '-20.86'],['ark' '202104021832' '-12.42' '-11.51' '-2.92' '-19.83'],['ark' '202104061805' '-16.0' '-11.71' '-12.8' '-16.0'],['ark' '202104072213' '-22.0' '-9.71' '-21.33' '-33.33']
['anc' '202103302152' '-5.42' '-1.62' '2.68' '1.63'],['anc' '202103312241' '-9.87' '-1.57' '-3.8' '-7.6'],['anc' '202104011601' '-10.36' '-1.47' '-2.86' '-7.14'],['anc' '202104021832' '-11.58' '-0.83' '-3.58' '-10.33'],['anc' '202104061805' '-13.6' '3.87' '-13.4' '-14.2'],['anc' '202104072213' '-14.67' '1.89' '-14.33' '-16.33']
['ray' '202104061805' '-19.0' '-5.12' '-45.75' '-20.75'],['ray' '202104072213' '-29.33' '-6.65' '-61.0' '-34.33']
['spi' '202104061805' '13.25' '-2.06' '-10.75' '27.75'],['spi' '202104072213' '-14.0' '-6.88' '-42.0' '9.0']
['vid' '202103302152' '-12.74' '-5.71' '-11.32' '-21.37'],['vid' '202103312241' '-10.33' '-7.96' '-2.53' '-22.27'],['vid' '202104011601' '-10.0' '-8.99' '-2.71' '-21.5'],['vid' '202104021832' '-6.67' '-10.09' '4.92' '-18.42'],['vid' '202104061805' '-23.4' '9.98' '-43.8' '-31.0'],['vid' '202104072213' '-31.67' '15.07' '-58.67' '-44.0']
['key' '202103302152' '-14.8' '-5.6' '-15.27' '4.27'],['key' '202103312241' '-13.0' '-5.9' '-17.0' '22.91'],['key' '202104011601' '-12.9' '-6.15' '-17.9' '24.1'],['key' '202104021832' '-12.5' '-6.0' '-22.38' '25.25'],['key' '202104072213' '-2.0' '-12.69' '-61.0' '5.33']
['loc' '202103302152' '-14.05' '8.08' '-23.89' '-16.42'],['loc' '202103312241' '-20.27' '3.2' '-31.47' '-24.27'],['loc' '202104011601' '-20.64' '1.15' '-32.71' '-26.5'],['loc' '202104021832' '-26.42' '-3.5' '-37.75' '-31.75'],['loc' '202104061805' '-21.2' '3.59' '-15.0' '-25.2'],['loc' '202104072213' '-31.33' '2.4' '-44.67' '-38.0']
['ring' '202103302152' '-13.32' '-4.91' '-29.63' '-13.37'],['ring' '202103312241' '-15.8' '-6.33' '-30.4' '-14.13'],['ring' '202104011601' '-14.71' '-6.81' '-28.71' '-11.0'],['ring' '202104021832' '-15.58' '-6.64' '-24.17' '-4.25'],['ring' '202104061805' '-17.6' '-7.55' '-26.0' '-25.4'],['ring' '202104072213' '-14.33' '-13.45' '-32.67' '-19.67']
['ast' '202103302152' '-11.11' '-6.5' '0.68' '-19.95'],['ast' '202103312241' '-18.6' '-7.16' '-9.93' '-21.8'],['ast' '202104011601' '-17.0' '-7.55' '-8.71' '-19.57'],['ast' '202104021832' '-20.0' '-6.61' '-16.83' '-23.08'],['ast' '202104061805' '10.6' '-13.75' '10.4' '16.2'],['ast' '202104072213' '6.67' '-16.58' '10.0' '5.0']
['tru' '202103302152' '22.89' '-3.14' '44.11' '5.47'],['tru' '202103312241' '19.53' '-5.5' '49.73' '3.67'],['tru' '202104011601' '23.79' '-6.38' '58.21' '8.86'],['tru' '202104021832' '27.33' '-8.25' '70.67' '16.75'],['tru' '202104061805' '-27.0' '-7.69' '-23.2' '-37.2'],['tru' '202104072213' '-29.0' '-9.06' '-18.0' '-30.33']
['pro' '202103302152' '-11.53' '0.45' '-13.26' '-7.58'],['pro' '202103312241' '-12.93' '1.02' '-17.67' '-8.13'],['pro' '202104011601' '-11.86' '-0.81' '-17.0' '-6.14'],['pro' '202104021832' '-9.92' '-2.24' '-16.58' '-4.0'],['pro' '202104061805' '-12.6' '-7.75' '-10.0' '-21.2'],['pro' '202104072213' '-9.33' '-9.59' '-8.33' '-22.67']
['ost' '202103302152' '0.89' '-2.17' '-4.0' '-9.79'],['ost' '202103312241' '4.67' '-3.55' '-2.47' '-15.6'],['ost' '202104011601' '8.57' '-4.15' '1.21' '-12.57'],['ost' '202104021832' '8.33' '-6.11' '-2.25' '-14.25'],['ost' '202104061805' '-21.8' '-7.03' '-17.2' '-33.4'],['ost' '202104072213' '-21.33' '-12.66' '0.0' '-30.0']
['for' '202103302152' '-12.11' '-1.36' '-13.0' '-13.63'],['for' '202103312241' '-16.53' '-4.02' '-21.2' '-18.4'],['for' '202104011601' '-16.21' '-4.8' '-21.5' '-18.21'],['for' '202104021832' '-16.25' '-7.36' '-22.92' '-18.17'],['for' '202104061805' '-4.6' '-9.7' '-13.6' '-15.0'],['for' '202104072213' '-12.0' '-10.45' '-25.33' '-25.33']
['new' '202103302152' '-4.32' '4.85' '7.42' '-0.89'],['new' '202103312241' '-6.87' '7.28' '9.93' '-5.27'],['new' '202104011601' '-5.29' '8.04' '13.36' '-3.29'],['new' '202104021832' '-0.58' '7.87' '18.42' '-0.58'],['new' '202104061805' '0.8' '-6.31' '-5.2' '4.6'],['new' '202104072213' '7.0' '-9.33' '-16.67' '11.33']
['block' '202103302152' '-8.89' '-3.18' '-8.63' '-6.32'],['block' '202103312241' '-15.6' '-3.48' '-22.0' '-16.13'],['block' '202104011601' '-16.21' '-3.42' '-24.29' '-20.07'],['block' '202104021832' '-22.5' '-2.83' '-31.67' '-26.92'],['block' '202104061805' '-17.0' '-1.8' '2.4' '-22.0'],['block' '202104072213' '-27.33' '-1.82' '-40.67' '-30.67']
['ach' '202104021748' '18.0' '-8.3' '23.57' '16.0'],['ach' '202104072213' '17.0' '-7.35' '-2.67' '12.67']
['act' '202103301721' '-20.94' '5.7' '-20.76' '-16.12'],['act' '202103312241' '-19.14' '5.39' '-18.93' '-14.14'],['act' '202104011601' '-19.38' '4.62' '-19.15' '-14.62'],['act' '202104021832' '-20.5' '3.94' '-18.0' '-15.92'],['act' '202104061805' '-31.2' '-4.62' '-35.0' '-35.4'],['act' '202104072213' '-38.33' '-10.85' '-45.0' '-41.0']
['man' '202103302152' '23.93' '-4.12' '25.5' '17.79'],['man' '202103312241' '28.5' '-5.25' '37.3' '24.3'],['man' '202104011601' '30.22' '-5.78' '43.11' '29.22'],['man' '202104021832' '26.0' '-6.71' '44.57' '35.43']
['dot' '202103311812' '17.14' '2.87' '-5.43' '-0.36'],['dot' '202104011601' '20.0' '2.02' '-14.67' '0.25'],['dot' '202104021832' '17.4' '0.02' '-7.6' '-0.5'],['dot' '202104061805' '-9.5' '-5.28' '-14.5' '-5.0'],['dot' '202104072213' '-15.67' '-9.59' '-25.0' '-9.0']
['dent' '202103311548' '-13.55' '-2.59' '-10.27' '-2.09'],['dent' '202104011601' '-16.3' '-2.45' '-15.1' '-2.3'],['dent' '202104021748' '-19.67' '-2.07' '-22.78' '-5.0'],['dent' '202104072213' '-43.0' '-17.23' '-46.33' '-45.33']
['rep' '202103302152' '2.89' '-3.02' '-5.53' '-1.0'],['rep' '202103312241' '4.8' '-2.98' '-4.73' '-0.27'],['rep' '202104011601' '4.21' '-3.04' '-5.86' '0.0'],['rep' '202104021832' '4.92' '-2.09' '-3.17' '0.33'],['rep' '202104061805' '-30.4' '-2.37' '-32.0' '-26.2'],['rep' '202104072213' '-32.67' '-5.19' '-45.0' '-32.33']
['trac' '202103302152' '-12.22' '2.58' '13.0' '-9.94'],['trac' '202103311812' '-14.41' '2.47' '13.29' '-13.29'],['trac' '202104011601' '-16.57' '4.06' '21.5' '-20.14'],['trac' '202104021832' '-17.0' '4.38' '33.0' '-22.25'],['trac' '202104061805' '-28.2' '-9.18' '13.8' '-21.2'],['trac' '202104072213' '-51.0' '-10.93' '-54.67' '-48.33']
['dia' '202103302152' '-15.53' '3.95' '-38.16' '-3.32'],['dia' '202103312241' '-15.93' '4.38' '-39.73' '-5.73'],['dia' '202104011601' '-14.0' '4.36' '-40.07' '-2.0'],['dia' '202104021832' '-12.25' '1.98' '-40.75' '-0.08'],['dia' '202104061805' '-2.8' '-3.33' '-39.0' '12.8'],['dia' '202104072213' '-21.33' '-5.59' '-50.33' '-17.0']
['polk' '202103302152' '-13.2' '-1.04' '-20.6' '-19.8'],['polk' '202103311812' '-15.14' '-0.58' '-19.21' '-22.07'],['polk' '202104011601' '-15.42' '-0.13' '-33.58' '-24.0'],['polk' '202104021832' '-9.5' '-1.68' '-44.7' '-21.4'],['polk' '202104061805' '-2.0' '-2.72' '-0.5' '0.25'],['polk' '202104072213' '-11.0' '-4.96' '-7.33' '-6.67']
['game' '202103302152' '-10.5' '-3.37' '0.72' '1.28'],['game' '202103312241' '-4.0' '-2.38' '12.21' '10.21'],['game' '202104011601' '0.23' '-2.17' '16.62' '14.62'],['game' '202104021832' '5.91' '-1.97' '22.73' '24.27'],['game' '202104061805' '-43.5' '-7.84' '-30.5' '-31.0'],['game' '202104072213' '-52.0' '-9.35' '-33.0' '-37.5']
['sha' '202103302152' '-5.21' '12.89' '-17.74' '-13.89'],['sha' '202103312241' '-7.8' '18.04' '-27.0' '-18.4'],['sha' '202104011601' '-8.36' '19.73' '-28.5' '-20.29'],['sha' '202104021832' '-6.5' '21.66' '-24.92' '-17.58'],['sha' '202104061805' '-10.8' '-4.21' '-6.0' '-14.0'],['sha' '202104072213' '-15.0' '-10.14' '-15.67' '-47.33']
['met' '202103302152' '-10.0' '3.05' '11.53' '12.37'],['met' '202103312241' '-4.6' '3.5' '22.6' '28.13'],['met' '202104011601' '-4.93' '3.34' '24.64' '32.86'],['met' '202104021832' '0.67' '2.69' '36.0' '47.75'],['met' '202104061805' '-6.2' '0.83' '46.4' '15.4'],['met' '202104072213' '-15.0' '-0.91' '7.33' '-27.0']
['hit' '202104072213' '-43.33' '-22.94' '-50.33' '-69.0']
['bnb' '202103301721' '41.22' '5.83' '27.39' '16.28'],['bnb' '202103311812' '46.18' '5.51' '33.76' '21.65'],['bnb' '202104011601' '46.57' '6.38' '25.43' '-5.71'],['bnb' '202104021832' '33.08' '6.35' '5.92' '-29.0'],['bnb' '202104061805' '-9.2' '-1.66' '-35.2' '-43.4'],['bnb' '202104072213' '9.0' '-5.29' '-19.33' '-38.67']
['xrp' '202103301721' '-22.12' '3.1' '-16.12' '-21.88'],['xrp' '202103311812' '-20.57' '3.35' '-19.57' '-19.71'],['xrp' '202104061805' '-32.2' '5.84' '-33.0' '-24.4'],['xrp' '202104072213' '-29.33' '-7.1' '-34.33' '-16.67']
['doge' '202103302152' '51.7' '3.28' '50.4' '66.4'],['doge' '202103311812' '55.56' '3.58' '40.44' '65.78'],['doge' '202104011601' '62.5' '4.43' '47.0' '76.25'],['doge' '202104021832' '39.0' '1.94' '29.33' '56.33'],['doge' '202104061805' '6.0' '0.29' '175.0' '8.5'],['doge' '202104072213' '12.0' '-4.38' '200.0' '35.0']
['uma' '202103302152' '2.4' '-2.11' '-2.5' '-3.8'],['uma' '202103312241' '0.78' '-2.49' '-5.11' '-7.11'],['uma' '202104011601' '2.62' '-3.25' '-3.5' '-5.38'],['uma' '202104021832' '3.0' '-4.2' '-4.0' '-6.14'],['uma' '202104072213' '0.0' '-10.53' '-18.0' '-15.0']
['ava' '202103301721' '-12.67' '1.96' '-13.83' '-30.33'],['ava' '202103312241' '-9.25' '1.03' '-9.25' '-24.25'],['ava' '202104021543' '-8.33' '-0.37' '-18.0' '-19.0'],['ava' '202104072213' '0.0' '-7.84' '-21.0' '-19.0']
['rif' '202104072213' '30.33' '-7.42' '-34.0' '-33.67']
['data' '202103302152' '-24.6' '-6.18' '0.2' '-15.6'],['data' '202103311548' '-24.5' '-9.8' '0.25' '-12.25'],['data' '202104021543' '-32.67' '-15.96' '10.0' '-7.67'],['data' '202104072213' '-36.5' '-23.21' '15.0' '-29.0']
['lon' '202103302152' '-14.06' '-5.01' '-27.53' '-13.0'],['lon' '202103312241' '-32.85' '-7.7' '-47.46' '-32.15'],['lon' '202104011601' '-30.92' '-8.5' '-45.5' '-29.17'],['lon' '202104021832' '-29.1' '-9.85' '-41.8' '-26.0'],['lon' '202104061805' '-37.0' '-7.07' '-37.67' '-52.33'],['lon' '202104072213' '-37.5' '-7.85' '-61.5' '-57.5']
['any' '202103302152' '0.37' '-5.69' '-5.37' '-6.79'],['any' '202103312241' '-1.87' '-6.49' '-12.73' '-8.0'],['any' '202104011601' '-1.43' '-6.77' '-12.93' '-7.64'],['any' '202104021832' '2.67' '-6.67' '-12.0' '-6.33'],['any' '202104061805' '7.0' '-8.6' '20.6' '-2.0'],['any' '202104072213' '6.67' '-9.67' '16.0' '-10.0']
['pay' '202103302152' '-3.37' '-3.17' '74.68' '20.79'],['pay' '202103312241' '-27.67' '-1.67' '33.07' '-1.33'],['pay' '202104011601' '-26.93' '-1.1' '37.07' '-0.71'],['pay' '202104021832' '-26.17' '1.51' '48.0' '0.5'],['pay' '202104061805' '30.4' '-1.74' '218.2' '106.6'],['pay' '202104072213' '57.0' '-3.65' '291.67' '159.67']
['smart' '202104072213' '-41.5' '24.82' '-42.5' '-46.5']
['ada' '202103302152' '-3.27' '0.3' '14.47' '-8.87'],['ada' '202103312241' '-4.55' '0.93' '6.64' '-22.73'],['ada' '202104011601' '-5.0' '1.27' '11.1' '-28.2'],['ada' '202104021832' '-6.25' '2.2' '20.38' '-39.75'],['ada' '202104061805' '-50.0' '2.48' '-22.0' '-33.0']
['fil' '202103302152' '19.71' '17.09' '43.82' '30.65'],['fil' '202103312241' '28.54' '13.65' '54.92' '41.92'],['fil' '202104011601' '31.75' '12.61' '60.17' '45.42'],['fil' '202104021832' '43.0' '-0.82' '81.6' '65.2'],['fil' '202104061805' '-16.67' '-9.45' '22.33' '-25.0'],['fil' '202104072013' '-12.5' '-14.18' '-16.5' '-23.0']
['algo' '202103312241' '12.0' '-5.47' '40.67' '10.33'],['algo' '202104072213' '50.0' '-7.91' '0.0' '45.0']
['sys' '202103302152' '-9.29' '-5.32' '-15.59' '-6.94'],['sys' '202103312241' '-18.62' '-5.81' '-38.31' '-11.46'],['sys' '202104011601' '-25.17' '-5.91' '-44.58' '-14.33'],['sys' '202104021832' '-29.7' '-4.15' '-52.2' '-19.7'],['sys' '202104061805' '-19.33' '3.5' '-29.67' '-13.0'],['sys' '202104072013' '-16.5' '2.22' '-18.0' '-7.5']
['etc' '202103302152' '6.0' '5.36' '0.5' '13.83'],['etc' '202103312241' '15.67' '6.85' '24.33' '36.0'],['etc' '202104011601' '7.0' '8.3' '41.5' '43.5']
['wan' '202104021748' '3.4' '-9.85' '-23.6' '5.2'],['wan' '202104072213' '0.0' '-10.27' '10.5' '-16.5']
['rly' '202103301721' '7.33' '8.51' '9.67' '27.0'],['rly' '202103312241' '-45.0' '17.76' '-60.0' '-69.0']
['pai' '202103311548' '-4.25' '2.18' '-16.5' '-9.75'],['pai' '202104011601' '-14.0' '1.98' '-17.0' '-6.33'],['pai' '202104021543' '-21.0' '-1.62' '2.0' '3.0']
['ltc' '202103302152' '7.29' '-1.16' '6.43' '-8.43'],['ltc' '202103312241' '-5.67' '-0.77' '-31.67' '-9.33'],['ltc' '202104011601' '0.0' '-0.35' '-26.0' '-14.0']
['trade' '202103302152' '3.0' '-5.67' '46.11' '-3.11'],['trade' '202103312241' '-16.6' '-8.37' '63.2' '-16.0'],['trade' '202104011601' '-15.0' '-9.69' '74.75' '-8.75'],['trade' '202104021543' '12.5' '-6.74' '234.5' '38.5']
['hot' '202103302152' '-38.11' '-3.63' '-41.0' '-38.67'],['hot' '202103312241' '-55.8' '-4.45' '-50.2' '-64.2'],['hot' '202104011601' '-53.0' '-5.59' '-45.5' '-60.75'],['hot' '202104021543' '-43.0' '-5.4' '-65.5' '-60.0']
['meme' '202103301721' '-1.33' '1.89' '64.67' '12.67'],['meme' '202103312241' '-33.0' '-0.15' '-79.0' '-50.0']
